year,ca,ND,pop
112,lc,10348,23342541
112,liverc,7724,23342541
112,crc,6791,23342541
112,brc,2972,11816340
112,prc,1815,11526202
112,orc,3610,23342541
112,panc,2879,23342541
112,gasc,2327,23342541
112,esoc,2064,23342541
112,ovac,751,11816340
112,uterc,644,11816340
111,lc,10053,23319977
111,liverc,7781,23319977
111,crc,6853,23319977
111,brc,2834,11781061
111,prc,1830,11538916
111,orc,3479,23319977
111,panc,2769,23319977
111,gasc,2277,23319977
111,esoc,1980,23319977
111,ovac,765,11781061
111,uterc,608,11781061
110,lc,10040,23342541
110,liverc,7970,23342541
110,crc,6657,23342541
110,brc,2913,11816340
110,prc,1689,11526202
110,orc,3395,23342541
110,panc,2659,23342541
110,gasc,2310,23342541
110,esoc,2030,23342541
110,ovac,696,11816340
110,uterc,608,11816340
109,lc,9629,23342541
109,liverc,7773,23342541
109,crc,6489,23342541
109,brc,2655,11816340
109,prc,1730,11526202
109,orc,3380,23342541
109,panc,2450,23342541
109,gasc,2339,23342541
109,esoc,1954,23342541
109,ovac,724,11816340
109,uterc,668,11816340
108,lc,9701,23596027
108,liverc,7881,23596027
108,crc,6436,23596027
108,brc,2633,11886977
108,prc,1538,11709050
108,orc,3425,23596027
108,panc,2497,23596027
108,gasc,2379,23596027
108,esoc,1983,23596027
108,ovac,683,11886977
108,uterc,674,11886977
107,lc,9388,23580078
107,liverc,8222,23580076
107,crc,5823,23580083
107,brc,2418,11863834
107,orc,3027,23580074
107,prc,1377,11716247
107,gasc,2299,23580080
107,panc,2292,23580080
107,esoc,1929,23580079
107,uterc,653,11863834
107,ovac,624,11863834
106,lc,9235,23555519
106,liverc,8402,23555521
106,crc,5812,23555522
106,brc,2377,11836099
106,orc,2842,23555525
106,prc,1392,11719421
106,gasc,2304,23555522
106,panc,2082,23555522
106,esoc,1797,23555520
106,uterc,651,11836097
106,ovac,644,11836097
105,lc,9372,23515945
105,liverc,8353,23515945
105,crc,5722,23515941
105,brc,2176,11800287
105,orc,2936,23515937
105,prc,1347,11715662
105,gasc,2315,23515946
105,panc,1996,23515945
105,esoc,1731,23515945
105,ovac,656,11800287
105,uterc,634,11800287
104,lc,9232,23462915
104,liverc,8258,23462914
104,crc,5687,23462915
104,brc,2141,11757903
104,orc,2667,23462923
104,prc,1231,11705015
104,gasc,2326,23462914
104,panc,1948,23462914
104,esoc,1807,23462913
104,uterc,661,11757905
104,ovac,529,11757905
103,lc,9167,23403634
103,liverc,8178,23403635
103,crc,5603,23403631
103,brc,2071,11712310
103,orc,2717,23403630
103,prc,1218,11691326
103,gasc,2350,23403647
103,panc,1890,23403637
103,esoc,1791,23403633
103,uterc,640,11712313
103,ovac,548,11712313